attack.type,request.url,request.method,request.header.authorization,request.headers.user-agent,request.header.x-api-tran-id,request.header.x-api-type,request.header.x-csrf-token,request.headers.cookie,request.headers.set_cookie,request.headers.content-type,request.headers.content-length,request.body,response.body,response.status

,http://localhost:3000/api/v2/mgmts/oauth/2.0/token,POST,,node,anya123456SGUNGBKFN7MGLZD,,,,,application/x-www-form-urlencoded,168,"""{\""grant_type\"":\""client_credentials\"",\""client_id\"":\""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca\"",\""client_secret\"":\""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o\"",\""scope\"":\""manage\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjb21wcmVoZW5zaXZlLXBvcnRhbCIsImF1ZCI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwianRpIjoiN2JlY2Q0MGYtZjI5ZS00NzlkLTliMzAtMzY0MzUwMDZiYjJjIiwiZXhwIjoxNzQxNTc4MzM3LCJzY29wZSI6Im1hbmFnZSIsImlhdCI6MTc0MTU3NDczN30.vgwpJHL2Irf9LY7CiDPWqWglEWoiJVzyIUtccKfSnkw\"",\""expires_in\"":3600,\""scope\"":\""manage\"",\""timestamp\"":\""20250310024537\""}""",200
,http://localhost:3000/api/v2/mgmts/orgs?search_timestamp=,GET,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjb21wcmVoZW5zaXZlLXBvcnRhbCIsImF1ZCI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwianRpIjoiN2JlY2Q0MGYtZjI5ZS00NzlkLTliMzAtMzY0MzUwMDZiYjJjIiwiZXhwIjoxNzQxNTc4MzM3LCJzY29wZSI6Im1hbmFnZSIsImlhdCI6MTc0MTU3NDczN30.vgwpJHL2Irf9LY7CiDPWqWglEWoiJVzyIUtccKfSnkw,node,anya123456SGUNGBKFN7MGLZD,,,,,application/json,,"""\""\""""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""search_timestamp\"":\""20250310024538\"",\""org_cnt\"":2,\""org_list\"":[{\""id\"":\""4038a0f9-c51a-4578-b5e7-a3a525bd6135\"",\""name\"":\""Bond Bank\"",\""opType\"":\""I\"",\""orgCode\"":\""bond123456\"",\""orgType\"":\""01\"",\""authType\"":\""01\"",\""industry\"":\""bank\"",\""serialNum\"":\""bondserial00\"",\""createdAt\"":\""2025-02-12T07:14:10.661Z\"",\""updatedAt\"":\""2025-02-12T07:14:10.661Z\""},{\""id\"":\""441d9a01-ef41-494f-8743-c55f269827d9\"",\""name\"":\""Anya Bank\"",\""opType\"":\""I\"",\""orgCode\"":\""anya123456\"",\""orgType\"":\""01\"",\""authType\"":\""01\"",\""industry\"":\""bank\"",\""serialNum\"":\""anyaserial00\"",\""createdAt\"":\""2025-02-12T07:14:09.343Z\"",\""updatedAt\"":\""2025-02-12T07:14:09.343Z\""}]}""",200
,http://localhost:3000/api/oauth/2.0/token,POST,,node,anya123456SGUNGBKFN7MGLZD,,,,,application/x-www-form-urlencoded,164,"""{\""grant_type\"":\""client_credentials\"",\""client_id\"":\""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca\"",\""client_secret\"":\""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o\"",\""scope\"":\""ca\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsImF1ZCI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwianRpIjoiN2NhMzYyZTAtZGYxMi00M2U4LWE2MWYtMjQ0Y2ZmNzJhNDYzIiwiZXhwIjoxNzQxNTc4MzM4LCJzY29wZSI6ImNhIiwiaWF0IjoxNzQxNTc0NzM4fQ.i5sgjLS-h7dejlzTr-7YY0ZbVJyWiw7jxAtuHBnGZwc\"",\""expires_in\"":3600,\""scope\"":\""ca\""}""",200
,http://localhost:3000/api/ca/sign_request,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsImF1ZCI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwianRpIjoiN2NhMzYyZTAtZGYxMi00M2U4LWE2MWYtMjQ0Y2ZmNzJhNDYzIiwiZXhwIjoxNzQxNTc4MzM4LCJzY29wZSI6ImNhIiwiaWF0IjoxNzQxNTc0NzM4fQ.i5sgjLS-h7dejlzTr-7YY0ZbVJyWiw7jxAtuHBnGZwc,node,anya123456SGUNGBKFN7MGLZD,,,,,application/json,557,"""{\""sign_tx_id\"":\""anya123456_certauth00_20250310024540_anyaserial00\"",\""user_ci\"":\""NjYxNTIz\"",\""real_name\"":\""Kristin Baumbach\"",\""phone_num\"":\""+821007613341\"",\""request_title\"":\""Request for Consent to Use Personal Information for Research\"",\""device_code\"":\""PC\"",\""device_browser\"":\""WB\"",\""return_app_scheme_url\"":\""https://anya-bank.com/return\"",\""consent_type\"":\""1\"",\""consent_cnt\"":1,\""consent_list\"":[{\""tx_id\"":\""MD_anya123456_bond123456_ra20250004_certauth00_20250310024540_XXAB00490000\"",\""consent_title\"":\""Consent Request for Transmission\"",\""consent\"":\""Y29uc2VudC0wMDI=\"",\""consent_len\"":16}]}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Electronic signature request successful, cert_tx_id has been provided.\"",\""sign_ios_app_scheme_url\"":\""mydataauth://auth?tx_id=anya123456\"",\""sign_aos_app_scheme_url\"":\""mydataauth://auth?tx_id=anya123456\"",\""sign_web_url\"":\""https://mydataauth.com/auth?tx_id=anya123456\"",\""cert_tx_id\"":\""2025031002454049bb5f75164445ea9e6f260faf\""}""",200
,http://localhost:3000/api/ca/sign_result,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsImF1ZCI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwianRpIjoiN2NhMzYyZTAtZGYxMi00M2U4LWE2MWYtMjQ0Y2ZmNzJhNDYzIiwiZXhwIjoxNzQxNTc4MzM4LCJzY29wZSI6ImNhIiwiaWF0IjoxNzQxNTc0NzM4fQ.i5sgjLS-h7dejlzTr-7YY0ZbVJyWiw7jxAtuHBnGZwc,node,anya123456SGUNGBKFN7MGLZD,,,,,application/json,122,"""{\""sign_tx_id\"":\""anya123456_certauth00_20250310024540_anyaserial00\"",\""cert_tx_id\"":\""2025031002454049bb5f75164445ea9e6f260faf\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""signed_consent_cnt\"":1,\""signed_consent_list\"":[{\""signed_consent_len\"":212,\""signed_consent\"":\""eyJ0eXBlIjoiU2lnbmVkQ29uc2VudCIsInZlcnNpb24iOiIxLjAiLCJjb25zZW50IjoiWTI5dWMyVnVkQzB3TURJPSIsInRpbWVzdGFtcCI6IjIwMjUtMDMtMTBUMDI6NDU6NDUuNDEwWiIsInByaXZhdGVLZXkiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1wcml2YXRlLWtleSJ9\"",\""tx_id\"":\""MD_anya123456_bond123456_ra20250004_certauth00_20250310024540_XXAB00490000\"",\""user_id\"":\""4831e2d0-0ed5-4ec4-8f92-6c0039c2a93d\"",\""certificate_id\"":\""daf17c2d-4bb2-4a0b-9c2e-780b3a4e65a8\""}]}""",200
,http://localhost:3000/api/ca/sign_verification,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6ImMzYjVkZDM2LTI2NTQtNDY0Yi1hYmUyLTkyZmQzZGRiNGJlMSIsImV4cCI6MTc0MTU3ODM1MCwic2NvcGUiOiJpcCIsImlhdCI6MTc0MTU3NDc1MH0.J0lcwcOmNYe3IOGllPq7e8Z3-iK3IDoh-TRh3quIi_4,node,anya123456SGUNGBKFN7MGLZD,,,,,application/json,464,"""{\""tx_id\"":\""MD_anya123456_bond123456_ra20250004_certauth00_20250310024540_XXAB00490000\"",\""cert_tx_id\"":\""2025031002454049bb5f75164445ea9e6f260faf\"",\""signed_consent_len\"":212,\""signed_consent\"":\""eyJ0eXBlIjoiU2lnbmVkQ29uc2VudCIsInZlcnNpb24iOiIxLjAiLCJjb25zZW50IjoiWTI5dWMyVnVkQzB3TURJPSIsInRpbWVzdGFtcCI6IjIwMjUtMDMtMTBUMDI6NDU6NDUuNDEwWiIsInByaXZhdGVLZXkiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1wcml2YXRlLWtleSJ9\"",\""consent_type\"":\""1\"",\""consent_len\"":16,\""consent\"":\""Y29uc2VudC0wMDI=\""}""","""{\""tx_id\"":\""MD_anya123456_bond123456_ra20250004_certauth00_20250310024540_XXAB00490000\"",\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""result\"":true,\""user_ci\"":\""NjYxNTIz\""}""",200
,http://localhost:3000/api/v2/mgmts/oauth/2.0/token,POST,,node,anya123456SHDJXBFUSZIN7OE,,,,,application/x-www-form-urlencoded,168,"""{\""grant_type\"":\""client_credentials\"",\""client_id\"":\""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca\"",\""client_secret\"":\""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o\"",\""scope\"":\""manage\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjb21wcmVoZW5zaXZlLXBvcnRhbCIsImF1ZCI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwianRpIjoiOWM4NGQwZTUtODliOS00NTIxLWJjNWMtN2Q4MTAyM2Y4NzA4IiwiZXhwIjoxNzQxNTc4MzU0LCJzY29wZSI6Im1hbmFnZSIsImlhdCI6MTc0MTU3NDc1NH0.0AWR34kfysNzG6kn2S2S9kmOPqFA5EY6infR6_i6An4\"",\""expires_in\"":3600,\""scope\"":\""manage\"",\""timestamp\"":\""20250310024554\""}""",200
,http://localhost:3000/api/v2/mgmts/orgs?search_timestamp=,GET,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjb21wcmVoZW5zaXZlLXBvcnRhbCIsImF1ZCI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwianRpIjoiOWM4NGQwZTUtODliOS00NTIxLWJjNWMtN2Q4MTAyM2Y4NzA4IiwiZXhwIjoxNzQxNTc4MzU0LCJzY29wZSI6Im1hbmFnZSIsImlhdCI6MTc0MTU3NDc1NH0.0AWR34kfysNzG6kn2S2S9kmOPqFA5EY6infR6_i6An4,node,anya123456SHDJXBFUSZIN7OE,,,,,application/json,,"""\""\""""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""search_timestamp\"":\""20250310024554\"",\""org_cnt\"":2,\""org_list\"":[{\""id\"":\""4038a0f9-c51a-4578-b5e7-a3a525bd6135\"",\""name\"":\""Bond Bank\"",\""opType\"":\""I\"",\""orgCode\"":\""bond123456\"",\""orgType\"":\""01\"",\""authType\"":\""01\"",\""industry\"":\""bank\"",\""serialNum\"":\""bondserial00\"",\""createdAt\"":\""2025-02-12T07:14:10.661Z\"",\""updatedAt\"":\""2025-02-12T07:14:10.661Z\""},{\""id\"":\""441d9a01-ef41-494f-8743-c55f269827d9\"",\""name\"":\""Anya Bank\"",\""opType\"":\""I\"",\""orgCode\"":\""anya123456\"",\""orgType\"":\""01\"",\""authType\"":\""01\"",\""industry\"":\""bank\"",\""serialNum\"":\""anyaserial00\"",\""createdAt\"":\""2025-02-12T07:14:09.343Z\"",\""updatedAt\"":\""2025-02-12T07:14:09.343Z\""}]}""",200
,http://localhost:3000/api/oauth/2.0/token,POST,,node,anya123456SHDJXBFUSZIN7OE,,,,,application/x-www-form-urlencoded,164,"""{\""grant_type\"":\""client_credentials\"",\""client_id\"":\""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca\"",\""client_secret\"":\""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o\"",\""scope\"":\""ca\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsImF1ZCI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwianRpIjoiMDcwYWY0MzctMmRiNi00MWFhLWIwZTItZjE0YTVjYjE2Nzg1IiwiZXhwIjoxNzQxNTc4MzU0LCJzY29wZSI6ImNhIiwiaWF0IjoxNzQxNTc0NzU0fQ.sQDug2yClRRuYsdSmSjA3HD_h0vb0o0ko7YV4i-us20\"",\""expires_in\"":3600,\""scope\"":\""ca\""}""",200
