timestamp,attack.type,request.url,request.method,request.headers.authorization,request.headers.user-agent,request.headers.x-api-tran-id,request.headers.x-api-type,request.headers.x-csrf-token,request.headers.cookie,request.headers.set_cookie,request.headers.content-type,request.headers.content-length,request.body,response.headers.x-api-tran-id,response.headers.content-type,response.body,response.status

2025-03-16T15:45:50.524Z,,http://localhost:3000/api/v2/mgmts/oauth/2.0/token,POST,,Mozilla/5.0,anya123456SS7GP7GH0RFFLIA,,,,,application/x-www-form-urlencoded,168,"{""grant_type"":""client_credentials"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""scope"":""manage""}",anya123456SS7GP7GH0RFFLIA,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1tYW5hZ2VtZW50Il0sImp0aSI6IjMzMDkyNTA2LWE4ZGUtNGNhZC04OGU0LWExM2U3NjI3N2E2MCIsImlhdCI6MTc0MjEzOTk1MCwiZXhwIjoxNzQyMTQzNTUwLCJzY29wZSI6WyJtYW5hZ2UiXX0.G3uhvITjbG_4QkB2nY_fvpYQ0KzYoYpeunbutx8z0W8"",""expires_in"":3600,""scope"":""manage"",""timestamp"":""20250316154550""}",200
2025-03-16T15:45:50.606Z,,http://localhost:3000/api/v2/mgmts/orgs?search_timestamp=20250316154550,GET,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1tYW5hZ2VtZW50Il0sImp0aSI6IjMzMDkyNTA2LWE4ZGUtNGNhZC04OGU0LWExM2U3NjI3N2E2MCIsImlhdCI6MTc0MjEzOTk1MCwiZXhwIjoxNzQyMTQzNTUwLCJzY29wZSI6WyJtYW5hZ2UiXX0.G3uhvITjbG_4QkB2nY_fvpYQ0KzYoYpeunbutx8z0W8,Mozilla/5.0,anya123456SVDMEPI69RP9THP,,,,,application/json;charset=UTF-8,,"""""",anya123456SVDMEPI69RP9THP,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250316154550"",""org_cnt"":2,""org_list"":[{""id"":""4038a0f9-c51a-4578-b5e7-a3a525bd6135"",""name"":""Bond Bank"",""opType"":""I"",""orgCode"":""bond123456"",""orgType"":""01"",""authType"":""01"",""industry"":""bank"",""serialNum"":""bondserial00"",""createdAt"":""2025-02-12T07:14:10.661Z"",""updatedAt"":""2025-02-12T07:14:10.661Z""},{""id"":""441d9a01-ef41-494f-8743-c55f269827d9"",""name"":""Anya Bank"",""opType"":""I"",""orgCode"":""anya123456"",""orgType"":""01"",""authType"":""01"",""industry"":""bank"",""serialNum"":""anyaserial00"",""createdAt"":""2025-02-12T07:14:09.343Z"",""updatedAt"":""2025-02-12T07:14:09.343Z""}]}",200
2025-03-16T15:45:50.771Z,,http://localhost:3000/api/oauth/2.0/token,POST,,Mozilla/5.0,anya123456SEUDIKRHUU2VCUB,,,,,application/x-www-form-urlencoded,164,"{""grant_type"":""client_credentials"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""scope"":""ca""}",anya123456SEUDIKRHUU2VCUB,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSJdLCJqdGkiOiI2YWI0NWQ2Mi1kYWM0LTQxMjYtOGQ2NC1lMTA0OGUwODZlNTkiLCJpYXQiOjE3NDIxMzk5NTAsImV4cCI6MTc0MjE0MzU1MCwic2NvcGUiOlsiY2EiXX0.vm2H1Za7oEjFBLU_E_Kbk-m3_H7d2T5W4msVUlx7zFY"",""expires_in"":3600,""scope"":""ca"",""issued_at"":1742139950}",200
2025-03-16T15:45:53.145Z,,http://localhost:3000/api/ca/sign_request,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSJdLCJqdGkiOiI2YWI0NWQ2Mi1kYWM0LTQxMjYtOGQ2NC1lMTA0OGUwODZlNTkiLCJpYXQiOjE3NDIxMzk5NTAsImV4cCI6MTc0MjE0MzU1MCwic2NvcGUiOlsiY2EiXX0.vm2H1Za7oEjFBLU_E_Kbk-m3_H7d2T5W4msVUlx7zFY,Mozilla/5.0,anya123456SRZXNRNYKTUTHK1,,,,,application/json;charset=UTF-8,942,"{""sign_tx_id"":""anya123456_certauth00_20250316154552_anyaserial00"",""user_ci"":""MTE3NTI5"",""real_name"":""Gerardo Morissette"",""phone_num"":""+821002581466"",""request_title"":""Request for Consent to Use Personal Information"",""device_code"":""PC"",""device_browser"":""WB"",""return_app_scheme_url"":""https://anya-bank.com/return"",""consent_type"":""1"",""consent_cnt"":3,""consent_list"":[{""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250316154552_XXAB00490000"",""consent_title"":""Consent Request for Transmission"",""consent"":""Y29uc2VudC0wMDI="",""consent_len"":16},{""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250316154552_XXAB00490001"",""consent_title"":""Consent to Collection and Use of Personal Information"",""consent"":""Y29uc2VudC0wMDI="",""consent_len"":16},{""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250316154552_XXAB00490002"",""consent_title"":""Consent to Provide Personal Information"",""consent"":""Y29uc2VudC0wMDM="",""consent_len"":16}]}",anya123456SRZXNRNYKTUTHK1,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Electronic signature request successful, cert_tx_id has been provided."",""sign_ios_app_scheme_url"":""mydataauth://auth?tx_id=20250316154552a4888fcc8bcf48eb9475b360ae"",""sign_aos_app_scheme_url"":""mydataauth://auth?tx_id=20250316154552a4888fcc8bcf48eb9475b360ae"",""sign_web_url"":""https://mydataauth.com/auth?tx_id=20250316154552a4888fcc8bcf48eb9475b360ae"",""cert_tx_id"":""20250316154552a4888fcc8bcf48eb9475b360ae""}",200
2025-03-16T15:45:57.528Z,,http://localhost:3000/api/ca/sign_result,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSJdLCJqdGkiOiI2YWI0NWQ2Mi1kYWM0LTQxMjYtOGQ2NC1lMTA0OGUwODZlNTkiLCJpYXQiOjE3NDIxMzk5NTAsImV4cCI6MTc0MjE0MzU1MCwic2NvcGUiOlsiY2EiXX0.vm2H1Za7oEjFBLU_E_Kbk-m3_H7d2T5W4msVUlx7zFY,Mozilla/5.0,anya123456SEWBAOQNPJURNMB,,,,,application/json;charset=UTF-8,122,"{""sign_tx_id"":""anya123456_certauth00_20250316154552_anyaserial00"",""cert_tx_id"":""20250316154552a4888fcc8bcf48eb9475b360ae""}",anya123456SEWBAOQNPJURNMB,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""signed_consent_cnt"":3,""signed_consent_list"":[{""signed_consent_len"":212,""signed_consent"":""eyJ0eXBlIjoiU2lnbmVkQ29uc2VudCIsInZlcnNpb24iOiIxLjAiLCJjb25zZW50IjoiWTI5dWMyVnVkQzB3TURJPSIsInRpbWVzdGFtcCI6IjIwMjUtMDMtMTZUMTU6NDU6NTcuMzUwWiIsInByaXZhdGVLZXkiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1wcml2YXRlLWtleSJ9"",""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250316154552_XXAB00490000"",""user_id"":""bdf49a46-49ee-4de2-86f9-cd31aefcbaab"",""certificate_id"":""5afa90c9-cbaf-440a-be09-6cb1efc1d313""},{""signed_consent_len"":212,""signed_consent"":""eyJ0eXBlIjoiU2lnbmVkQ29uc2VudCIsInZlcnNpb24iOiIxLjAiLCJjb25zZW50IjoiWTI5dWMyVnVkQzB3TURJPSIsInRpbWVzdGFtcCI6IjIwMjUtMDMtMTZUMTU6NDU6NTcuMzUwWiIsInByaXZhdGVLZXkiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1wcml2YXRlLWtleSJ9"",""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250316154552_XXAB00490001"",""user_id"":""bdf49a46-49ee-4de2-86f9-cd31aefcbaab"",""certificate_id"":""5afa90c9-cbaf-440a-be09-6cb1efc1d313""},{""signed_consent_len"":212,""signed_consent"":""eyJ0eXBlIjoiU2lnbmVkQ29uc2VudCIsInZlcnNpb24iOiIxLjAiLCJjb25zZW50IjoiWTI5dWMyVnVkQzB3TURNPSIsInRpbWVzdGFtcCI6IjIwMjUtMDMtMTZUMTU6NDU6NTcuMzUwWiIsInByaXZhdGVLZXkiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1wcml2YXRlLWtleSJ9"",""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250316154552_XXAB00490002"",""user_id"":""bdf49a46-49ee-4de2-86f9-cd31aefcbaab"",""certificate_id"":""5afa90c9-cbaf-440a-be09-6cb1efc1d313""}]}",200
2025-03-16T15:46:05.165Z,,http://localhost:3000/api/v2/mgmts/oauth/2.0/token,POST,,Mozilla/5.0,anya123456SJ6VS8DLXKXMYSP,,,,,application/x-www-form-urlencoded,168,"{""grant_type"":""client_credentials"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""scope"":""manage""}",anya123456SJ6VS8DLXKXMYSP,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1tYW5hZ2VtZW50Il0sImp0aSI6IjU2ZGZkNTkzLWM1ZTktNDEyNC04MzE4LWE5YjMwYzEzNWQ0OSIsImlhdCI6MTc0MjEzOTk2NSwiZXhwIjoxNzQyMTQzNTY1LCJzY29wZSI6WyJtYW5hZ2UiXX0.n9JQm6MuQlwSgH7lPMPM_U4735g5oNOhpH1pxg_AQQc"",""expires_in"":3600,""scope"":""manage"",""timestamp"":""20250316154605""}",200
2025-03-16T15:46:05.238Z,,http://localhost:3000/api/v2/mgmts/orgs?search_timestamp=20250316154605,GET,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eS1tYW5hZ2VtZW50Il0sImp0aSI6IjU2ZGZkNTkzLWM1ZTktNDEyNC04MzE4LWE5YjMwYzEzNWQ0OSIsImlhdCI6MTc0MjEzOTk2NSwiZXhwIjoxNzQyMTQzNTY1LCJzY29wZSI6WyJtYW5hZ2UiXX0.n9JQm6MuQlwSgH7lPMPM_U4735g5oNOhpH1pxg_AQQc,Mozilla/5.0,anya123456S7CQQIQXJQHSJZ5,,,,,application/json;charset=UTF-8,,"""""",anya123456S7CQQIQXJQHSJZ5,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250316154605"",""org_cnt"":2,""org_list"":[{""id"":""4038a0f9-c51a-4578-b5e7-a3a525bd6135"",""name"":""Bond Bank"",""opType"":""I"",""orgCode"":""bond123456"",""orgType"":""01"",""authType"":""01"",""industry"":""bank"",""serialNum"":""bondserial00"",""createdAt"":""2025-02-12T07:14:10.661Z"",""updatedAt"":""2025-02-12T07:14:10.661Z""},{""id"":""441d9a01-ef41-494f-8743-c55f269827d9"",""name"":""Anya Bank"",""opType"":""I"",""orgCode"":""anya123456"",""orgType"":""01"",""authType"":""01"",""industry"":""bank"",""serialNum"":""anyaserial00"",""createdAt"":""2025-02-12T07:14:09.343Z"",""updatedAt"":""2025-02-12T07:14:09.343Z""}]}",200
2025-03-16T15:46:05.412Z,,http://localhost:3000/api/oauth/2.0/token,POST,,Mozilla/5.0,anya123456SWCIS6EBPNIUHRM,,,,,application/x-www-form-urlencoded,164,"{""grant_type"":""client_credentials"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""scope"":""ca""}",anya123456SWCIS6EBPNIUHRM,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSJdLCJqdGkiOiIyNmFmNDRlOC03MzkwLTQyZmQtYjVjNS1iYWQ2ZWMxMzdhMDUiLCJpYXQiOjE3NDIxMzk5NjUsImV4cCI6MTc0MjE0MzU2NSwic2NvcGUiOlsiY2EiXX0.eJojyqzQNBNxzZUPXe4wLdNwrvrZbwBpBbVltiWOkZM"",""expires_in"":3600,""scope"":""ca"",""issued_at"":1742139965}",200
2025-03-16T15:46:07.767Z,,http://localhost:3000/api/ca/sign_request,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSIsInN1YiI6IndjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OG00cTd4djl6YjJ0Z2NhIiwiYXVkIjpbImFueWExMjM0NTYiLCJjZXJ0aWZpY2F0aW9uLWF1dGhvcml0eSJdLCJqdGkiOiIyNmFmNDRlOC03MzkwLTQyZmQtYjVjNS1iYWQ2ZWMxMzdhMDUiLCJpYXQiOjE3NDIxMzk5NjUsImV4cCI6MTc0MjE0MzU2NSwic2NvcGUiOlsiY2EiXX0.eJojyqzQNBNxzZUPXe4wLdNwrvrZbwBpBbVltiWOkZM,Mozilla/5.0,anya123456SKA89QLRUTH1XH7,,,,,application/json;charset=UTF-8,749,"{""sign_tx_id"":""anya123456_certauth00_20250316154607_bondserial00"",""user_ci"":""NTY2OTgz"",""real_name"":""London Hettinger"",""phone_num"":""+821031349387"",""request_title"":""Request for Consent to Use Personal Information"",""device_code"":""TB"",""device_browser"":""WB"",""return_app_scheme_url"":""https://anya-bank.com/return"",""consent_type"":""1"",""consent_cnt"":2,""consent_list"":[{""tx_id"":""MD_anya123456_bond123456_ra20250002_certauth00_20250316154607_XXAB00490000"",""consent_title"":""Consent Request for Transmission"",""consent"":""Y29uc2VudC0wMDE="",""consent_len"":16},{""tx_id"":""MD_anya123456_bond123456_ra20250002_certauth00_20250316154607_XXAB00490001"",""consent_title"":""Consent to Collection and Use of Personal Information"",""consent"":""Y29uc2VudC0wMDE="",""consent_len"":16}]}",anya123456SKA89QLRUTH1XH7,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Electronic signature request successful, cert_tx_id has been provided."",""sign_ios_app_scheme_url"":""mydataauth://auth?tx_id=202503161546072142c37aedcb4a509a094b349f"",""sign_aos_app_scheme_url"":""mydataauth://auth?tx_id=202503161546072142c37aedcb4a509a094b349f"",""sign_web_url"":""https://mydataauth.com/auth?tx_id=202503161546072142c37aedcb4a509a094b349f"",""cert_tx_id"":""202503161546072142c37aedcb4a509a094b349f""}",200
